                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3659,                 3.1449,                 1.1261,                0.83252,                 0.6506,                 0.7679,                0.44414,                 1.3572,                 1.7926,                 1.1291,               0.070168,              0.0033147,              0.0033147
                      1,                 1.3846,                 1.7263,                 1.1889,                0.74091,                 0.6776,                0.75819,                0.41688,                  1.478,                 1.4782,                 1.2343,               0.040036,              0.0065164,              0.0065164
                      2,                 1.4608,                 1.7717,                 1.2604,                0.66698,                0.40161,                0.47614,                0.25114,                  1.687,                 2.3969,                 1.3953,              0.0097723,              0.0095861,              0.0095861
                      3,                 1.6267,                 2.0208,                 1.3339,                0.65803,                0.42972,                0.51011,                0.24534,                 1.6724,                 2.0306,                 1.4393,               0.009406,               0.009406,               0.009406
                      4,                 1.6444,                 1.9098,                 1.3674,                0.60108,                0.51807,                0.52502,                0.29626,                 1.5183,                 1.7083,                  1.336,               0.009406,               0.009406,               0.009406
                      5,                  1.551,                 1.5701,                 1.3232,                0.57991,                0.36546,                0.45391,                0.25875,                 1.6257,                 2.1867,                 1.4855,               0.009208,               0.009208,               0.009208
                      6,                 1.5848,                 1.5774,                 1.3475,                0.63993,                0.43775,                 0.5291,                0.31947,                 1.5933,                 2.0433,                 1.3987,                0.00901,                0.00901,                0.00901
                      7,                 1.5689,                 1.5334,                 1.3236,                0.64235,                0.69076,                0.61999,                0.32179,                 1.6165,                 1.4616,                 1.3559,               0.008812,               0.008812,               0.008812
                      8,                 1.5445,                 1.4812,                 1.3084,                 0.7035,                0.60643,                0.68714,                0.40193,                 1.4823,                 1.3706,                 1.3095,               0.008614,               0.008614,               0.008614
                      9,                 1.4863,                 1.3482,                 1.2935,                0.64758,                0.70281,                0.67209,                0.38588,                 1.4908,                 1.3993,                 1.3208,               0.008416,               0.008416,               0.008416
                     10,                 1.4575,                 1.3369,                 1.2859,                0.83107,                0.76305,                0.84798,                0.49631,                 1.3961,                 1.1167,                 1.2825,               0.008218,               0.008218,               0.008218
                     11,                 1.4508,                 1.2381,                 1.2794,                 0.7247,                0.76118,                0.75972,                0.42175,                 1.4518,                 1.1513,                    1.3,                0.00802,                0.00802,                0.00802
                     12,                 1.4426,                  1.186,                 1.2833,                0.76686,                0.78715,                 0.8181,                 0.4434,                 1.5056,                 1.1351,                 1.3085,               0.007822,               0.007822,               0.007822
                     13,                 1.4277,                 1.2262,                 1.2464,                 0.7379,                 0.6671,                0.74678,                0.42595,                 1.4909,                 1.2946,                 1.3219,               0.007624,               0.007624,               0.007624
                     14,                 1.4669,                 1.2244,                 1.2644,                0.81958,                 0.7992,                0.85554,                0.52232,                 1.3988,                 1.0335,                  1.272,               0.007426,               0.007426,               0.007426
                     15,                 1.4129,                 1.1477,                 1.2605,                0.78204,                0.78313,                0.84905,                0.49889,                 1.4406,                 1.1084,                 1.2806,               0.007228,               0.007228,               0.007228
                     16,                 1.3768,                 1.1196,                 1.2373,                0.78438,                0.80321,                0.80969,                0.47732,                 1.3547,                 1.2039,                 1.2468,                0.00703,                0.00703,                0.00703
                     17,                 1.3453,                 1.0895,                 1.2026,                0.86293,                0.86345,                0.89206,                 0.5443,                  1.355,                0.94001,                 1.2158,               0.006832,               0.006832,               0.006832
                     18,                 1.3277,                 1.0923,                 1.1932,                0.84105,                0.79116,                0.86878,                0.53873,                 1.3202,                0.93659,                 1.1892,               0.006634,               0.006634,               0.006634
                     19,                 1.3246,                 1.0315,                 1.1838,                0.86809,                0.84577,                0.89437,                0.53208,                 1.3426,                0.93126,                 1.1865,               0.006436,               0.006436,               0.006436
                     20,                 1.3021,                0.98217,                 1.1821,                0.85421,                0.84739,                0.90158,                0.55853,                 1.3532,                0.88881,                 1.1992,               0.006238,               0.006238,               0.006238
                     21,                 1.2973,                0.97788,                 1.1738,                0.83318,                0.81526,                0.87345,                0.55896,                 1.2959,                 0.9054,                 1.1642,                0.00604,                0.00604,                0.00604
                     22,                 1.3215,                 1.0181,                 1.1671,                0.83323,                0.87952,                0.90915,                0.56256,                 1.3047,                0.91355,                 1.1734,               0.005842,               0.005842,               0.005842
