                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3138,                0.97965,                 1.1827,                0.89132,                0.85542,                0.92472,                0.59122,                 1.2979,                0.81816,                 1.1766,               0.005644,               0.005644,               0.005644
                     24,                  1.257,                0.93732,                 1.1547,                0.86267,                 0.8996,                0.93981,                0.57537,                 1.3623,                0.83479,                 1.1946,               0.005446,               0.005446,               0.005446
                     25,                 1.2619,                0.94561,                  1.163,                0.83524,                0.87952,                0.90892,                0.57799,                 1.3209,                0.83456,                 1.1805,               0.005248,               0.005248,               0.005248
                     26,                 1.2818,                 1.0022,                 1.1638,                0.87123,                0.86949,                0.91889,                0.59416,                 1.2889,                0.80945,                 1.1489,                0.00505,                0.00505,                0.00505
                     27,                 1.2496,                0.88789,                 1.1451,                0.88765,                0.88844,                0.94071,                0.60132,                 1.2772,                0.75464,                 1.1375,               0.004852,               0.004852,               0.004852
                     28,                 1.2346,                0.87476,                  1.138,                0.90289,                 0.8962,                0.94722,                0.60925,                 1.2627,                0.74937,                 1.1567,               0.004654,               0.004654,               0.004654
                     29,                 1.2341,                0.89116,                 1.1494,                0.91535,                0.91968,                0.95615,                0.60246,                 1.2502,                0.71185,                 1.1456,               0.004456,               0.004456,               0.004456
                     30,                 1.2135,                0.86808,                 1.1274,                 0.8826,                 0.8996,                0.93655,                0.59283,                 1.2698,                0.76263,                  1.148,               0.004258,               0.004258,               0.004258
                     31,                 1.2084,                 0.8426,                 1.1357,                0.90947,                0.88764,                0.94298,                0.60508,                 1.2507,                 0.7395,                  1.136,                0.00406,                0.00406,                0.00406
                     32,                 1.1753,                0.80702,                 1.0929,                0.84379,                0.89558,                0.92953,                0.61476,                  1.257,                0.77203,                 1.1262,               0.003862,               0.003862,               0.003862
                     33,                 1.1715,                 0.8085,                 1.0957,                0.91367,                0.87149,                0.92695,                0.59393,                 1.2719,                0.73925,                 1.1465,               0.003664,               0.003664,               0.003664
                     34,                 1.1604,                0.79039,                 1.0985,                0.88154,                 0.9265,                0.94585,                0.62633,                 1.2161,                0.68565,                 1.1145,               0.003466,               0.003466,               0.003466
                     35,                 1.1676,                0.77276,                  1.103,                0.86313,                0.95181,                0.95829,                0.62797,                 1.2518,                0.67001,                 1.1161,               0.003268,               0.003268,               0.003268
                     36,                 1.1278,                0.76403,                 1.0812,                0.91314,                 0.9288,                 0.9514,                0.63784,                 1.2067,                0.67179,                 1.0984,                0.00307,                0.00307,                0.00307
                     37,                 1.1118,                0.72949,                  1.076,                0.87149,                0.92596,                0.94663,                0.63017,                 1.2051,                0.68262,                 1.0904,               0.002872,               0.002872,               0.002872
                     38,                 1.1327,                0.73081,                  1.073,                0.89657,                0.94779,                0.96266,                0.63484,                 1.2185,                0.63547,                 1.1075,               0.002674,               0.002674,               0.002674
                     39,                 1.1197,                0.74206,                 1.0666,                0.90981,                0.92771,                0.95337,                0.63392,                 1.2122,                0.68755,                 1.1098,               0.002476,               0.002476,               0.002476
                     40,                 1.1073,                0.71255,                 1.0662,                  0.889,                0.93274,                 0.9501,                0.61505,                  1.243,                0.67106,                 1.1235,               0.002278,               0.002278,               0.002278
                     41,                 1.0962,                0.66339,                 1.0713,                 0.8859,                0.91968,                0.95298,                0.64065,                 1.2247,                0.64761,                 1.1176,                0.00208,                0.00208,                0.00208
                     42,                 1.0917,                0.64289,                 1.0759,                0.93034,                0.91181,                0.96442,                0.64715,                 1.1997,                0.64318,                  1.107,               0.001882,               0.001882,               0.001882
                     43,                   1.08,                0.65203,                 1.0469,                0.91063,                0.94116,                 0.9647,                 0.6424,                 1.2184,                0.63416,                 1.1106,               0.001684,               0.001684,               0.001684
                     44,                  1.039,                0.63206,                 1.0281,                0.92729,                0.94378,                0.96795,                0.65297,                  1.209,                0.61921,                 1.0957,               0.001486,               0.001486,               0.001486
                     45,                 1.0258,                0.61061,                 1.0344,                0.92344,                0.95181,                0.96931,                0.65961,                 1.2157,                   0.62,                 1.0959,               0.001288,               0.001288,               0.001288
                     46,                 1.0179,                0.59962,                  1.023,                 0.9219,                0.93173,                0.96764,                 0.6551,                 1.1833,                 0.6078,                 1.0917,                0.00109,                0.00109,                0.00109
                     47,                 1.0334,                0.59084,                 1.0249,                0.92418,                0.92771,                0.96251,                0.66098,                  1.173,                0.59861,                 1.0769,               0.000892,               0.000892,               0.000892
                     48,                 1.0247,                0.59121,                 1.0349,                0.94224,                0.91722,                0.96663,                0.66272,                 1.1669,                0.58606,                 1.0752,               0.000694,               0.000694,               0.000694
                     49,                0.99909,                0.56042,                 1.0192,                0.93516,                0.92679,                0.96451,                0.66547,                 1.1641,                0.57847,                 1.0728,               0.000496,               0.000496,               0.000496
