                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2557,                0.85091,                 1.0589,                 0.8721,                0.82329,                  0.887,                0.53844,                 1.2872,                0.80649,                 1.0953,               0.003466,               0.003466,               0.003466
                     35,                  1.286,                0.88763,                 1.0719,                0.92177,                0.80723,                0.91242,                0.57114,                 1.2542,                0.73739,                 1.0741,               0.003268,               0.003268,               0.003268
                     36,                 1.2434,                0.84403,                 1.0443,                 0.8808,                0.86747,                0.91665,                0.55419,                 1.2784,                0.73315,                 1.0718,                0.00307,                0.00307,                0.00307
                     37,                 1.2428,                0.81878,                 1.0564,                0.88842,                0.83139,                0.90808,                0.57116,                 1.2849,                0.73623,                 1.0707,               0.002872,               0.002872,               0.002872
                     38,                 1.2355,                0.82538,                 1.0416,                0.92036,                0.84739,                0.92058,                0.56283,                 1.3047,                0.74996,                 1.0764,               0.002674,               0.002674,               0.002674
                     39,                 1.2212,                 0.8032,                 1.0421,                0.87638,                0.84337,                0.87013,                0.53874,                 1.2648,                0.74725,                 1.0418,               0.002476,               0.002476,               0.002476
                     40,                 1.2166,                0.78202,                 1.0358,                0.89488,                 0.8547,                0.90802,                0.55591,                  1.276,                0.71318,                 1.0705,               0.002278,               0.002278,               0.002278
                     41,                 1.1914,                0.73625,                 1.0342,                 0.9052,                 0.8436,                0.92664,                0.58293,                  1.245,                0.70639,                 1.0643,                0.00208,                0.00208,                0.00208
                     42,                 1.1991,                0.73271,                 1.0517,                0.90662,                0.85784,                0.93558,                0.59081,                 1.2587,                0.70051,                 1.0691,               0.001882,               0.001882,               0.001882
                     43,                 1.1775,                0.74992,                 1.0201,                0.88794,                0.89103,                0.92361,                 0.5958,                 1.2259,                0.70227,                 1.0469,               0.001684,               0.001684,               0.001684
                     44,                 1.1489,                0.72303,                 1.0049,                0.90054,                0.87275,                 0.9279,                0.60013,                 1.1998,                0.69409,                 1.0482,               0.001486,               0.001486,               0.001486
                     45,                 1.1463,                0.71956,                 1.0126,                0.87795,                0.89554,                0.93829,                0.60283,                 1.2411,                0.69649,                 1.0533,               0.001288,               0.001288,               0.001288
                     46,                 1.1153,                0.68932,                 1.0012,                0.90391,                 0.8996,                0.93561,                 0.6104,                 1.2021,                0.65751,                 1.0452,                0.00109,                0.00109,                0.00109
                     47,                 1.1059,                0.64964,                0.99863,                0.91135,                0.90763,                0.94814,                 0.6168,                 1.2071,                0.66038,                 1.0429,               0.000892,               0.000892,               0.000892
                     48,                 1.1242,                0.66424,                 1.0059,                0.89639,                0.90337,                0.93946,                 0.6021,                 1.2097,                0.66614,                 1.0475,               0.000694,               0.000694,               0.000694
                     49,                 1.0893,                0.64246,                0.99852,                0.88822,                0.91165,                 0.9395,                0.61257,                 1.1778,                0.65003,                 1.0385,               0.000496,               0.000496,               0.000496
